@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V,,,,
,,,,
@attribute total_fiat numeric,,,,
@attribute total_biat numeric,,,,
@attribute min_fiat numeric,,,,
@attribute min_biat numeric,,,,
@attribute class1 {TOR,NONTOR},,,
,,,,
@data,,,,
48,18,895302,891198,NONTOR
3,21,4302272,4301586,NONTOR
1401,-1,1401,-1,NONTOR
855,-1,855,-1,NONTOR
48,20,4897690,4893894,NONTOR
840,34,130912,131782,NONTOR
-1,60,-1,378,NONTOR
49,20,2510389,2510455,NONTOR
57,18,2812286,2809450,NONTOR
41,19,3006430,3007226,NONTOR
-1,61,-1,321,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
32141,32915,8718388,8576379,NONTOR
4506,8579,1608315,1608308,NONTOR
751,755,2071607,2303897,NONTOR
32912,24375,1904623,2079836,NONTOR
75301,24038,1983245,2157921,NONTOR
7681,7677,2507495,2392783,NONTOR
31358,3522,2303394,2363040,NONTOR
24476,35277,1913469,1743610,NONTOR
20817,28922,2004829,1923779,NONTOR
4827,8642,2012159,1965024,NONTOR
22100,22102,1905450,1941157,NONTOR
36299,36296,2391070,2391081,NONTOR
211982,211983,2011319,2011320,NONTOR
208982,208985,2005269,2005294,NONTOR
210989,210985,2014604,2014604,NONTOR
210276,210265,2009801,2009803,NONTOR
32500,32496,2188948,2188949,NONTOR
206008,206008,2010004,2010012,NONTOR
199,23,1513624,305254,NONTOR
34,18,3778583,265404,NONTOR
423,45,137230,137679,NONTOR
-1,41,-1,41,NONTOR
14,-1,132,-1,NONTOR
1234,50,139972,141100,NONTOR
32,25,672406,708756,NONTOR
3,19,13129126,13088200,NONTOR
3,20,175310,130672,NONTOR
3,30,213650,129349,NONTOR
3,19,9641060,9642386,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
44,22,3098914,3352041,NONTOR
42,0,3511660,3760016,NONTOR
43,21,4049962,4086148,NONTOR
29,20,6391295,6429555,NONTOR
43,3,9314610,9526104,NONTOR
27,21,5493033,5492963,NONTOR
41,33,5518664,5766753,NONTOR
28,21,5109510,5325192,NONTOR
24,21,3508205,2001827,NONTOR
29,23,8540355,8752518,NONTOR
42,19,6448428,6659647,NONTOR
44,174,6854218,6854231,NONTOR
270973,-1,270973,-1,NONTOR
139243,202,12886473,13224068,NONTOR
1907,281821,323874,343565,NONTOR
268178,50,306733,268136,NONTOR
70,4655,9423908,9365167,NONTOR
135197,174,8710464,9022587,NONTOR
97,199,6616910,6284340,NONTOR
823,73,15395049,354855,NONTOR
167,14166,2850381,2790015,NONTOR
63874,142941,2787211,3119436,NONTOR
268724,7041206,6738216,7041206,NONTOR
73,203,4224172,4089420,NONTOR
268421,32,271043,268404,NONTOR
25,24,4857203,4857206,NONTOR
18,26,4375613,4375626,NONTOR
56,99554,13626514,13904942,NONTOR
208,134283,5299647,5161861,NONTOR
117,133858,3425299,3251113,NONTOR
152,140568,8175328,8170328,NONTOR
327,138881,3476702,3276962,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
220036,219520,220036,219520,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
220001,217206,220001,217206,NONTOR
-1,-1,-1,-1,NONTOR
140783,486,4144351,4106357,NONTOR
138951,386,5033487,5033513,NONTOR
137138,243,962832,925412,NONTOR
275736,138,7740391,7740452,NONTOR
34,20,3430590,3327070,NONTOR
132,24,13391562,13159906,NONTOR
299,25,5397928,5151628,NONTOR
101923,101946,3844026,4267006,NONTOR
1947,210672,6215105,6215108,NONTOR
175815,408,1188042,903056,NONTOR
131,21,3536784,3412384,NONTOR
139417,1192,5421195,5142769,NONTOR
499,20,4413981,4313055,NONTOR
139236,251,4173993,3852478,NONTOR
304350,361860,5712866,6143533,NONTOR
11559,41,13875990,13620735,NONTOR
139916,542,2659105,2342185,NONTOR
70213,37,9861194,9588727,NONTOR
214,276,5406801,5819478,NONTOR
143395,1106,8760469,8760560,NONTOR
1084,33,3168585,3050503,NONTOR
5165,46,3923966,3717529,NONTOR
140476,450,2055819,2271641,NONTOR
-1,-1,-1,-1,NONTOR
10876,101,9443314,9283185,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
31277,1293,2347849,2186014,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
977,1010,5092961,5047613,NONTOR
-1,-1,-1,-1,NONTOR
503,521,7557755,7358223,NONTOR
-1,-1,-1,-1,NONTOR
206739,206746,6334790,6542005,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
7,26,7556763,7556987,NONTOR
4,27,2228624,2281085,NONTOR
8,28,1923035,1923802,NONTOR
4,28,1881958,1888365,NONTOR
4,27,1145446,1202101,NONTOR
6,27,1426152,1478473,NONTOR
7,29,3799486,3748618,NONTOR
3,30,1108163,1160871,NONTOR
11,80,2405739,2448795,NONTOR
4,29,2365539,2312274,NONTOR
83,0,2578649,2637655,NONTOR
24,0,1314646,1314468,NONTOR
24,0,931888,931860,NONTOR
43,0,2228539,2282628,NONTOR
41,0,1145434,1202228,NONTOR
43,0,1968990,2021614,NONTOR
75,0,2404324,2447530,NONTOR
41,0,2369364,2352510,NONTOR
61,1,2563278,2563070,NONTOR
122,32,281505,281416,NONTOR
-1,-1,-1,-1,NONTOR
13,0,273847,805185,NONTOR
110931,-1,110931,-1,NONTOR
-1,-1,-1,-1,NONTOR
7,23,302421,509857,NONTOR
0,0,286486,338547,NONTOR
32,24,276273,444771,NONTOR
0,0,320970,320967,NONTOR
31,18,762683,762660,NONTOR
-1,-1,-1,-1,NONTOR
275208,-1,581276,-1,NONTOR
533,7610,295312,998575,NONTOR
0,0,302406,300849,NONTOR
23,18,771924,774775,NONTOR
79197,-1,79197,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
0,0,278157,278137,NONTOR
0,0,276770,952014,NONTOR
855293,-1,855293,-1,NONTOR
31,0,552897,718161,NONTOR
87463,-1,87463,-1,NONTOR
0,0,275184,590505,NONTOR
-1,-1,-1,-1,NONTOR
9,19,313511,354265,NONTOR
0,0,381772,717719,NONTOR
40893,-1,40893,-1,NONTOR
-1,-1,-1,-1,NONTOR
23,17,293980,293978,NONTOR
0,0,319833,595284,NONTOR
0,0,296369,721775,NONTOR
621469,-1,621469,-1,NONTOR
1921348,-1,1921348,-1,NONTOR
53911,-1,53911,-1,NONTOR
0,0,304171,460707,NONTOR
0,0,309525,598971,NONTOR
177,24602,800484,800465,NONTOR
40,25,2439719,2112043,NONTOR
14,23,296329,646271,NONTOR
27,0,300791,365053,NONTOR
18,22,250188,250144,NONTOR
33,33,282544,282532,NONTOR
1547192,-1,1547192,-1,NONTOR
248,24,405631,405865,NONTOR
44636,-1,44636,-1,NONTOR
952643,-1,952643,-1,NONTOR
-1,-1,-1,-1,NONTOR
31,24,284493,430354,NONTOR
203712,-1,203712,-1,NONTOR
221,24,274814,275064,NONTOR
812497,-1,812497,-1,NONTOR
182,24528,309710,999990,NONTOR
84831,-1,84831,-1,NONTOR
0,0,486412,407965,NONTOR
26,0,517491,555149,NONTOR
24,24,506101,506104,NONTOR
31,19,511716,508247,NONTOR
32,0,488398,736431,NONTOR
27,23,278345,458058,NONTOR
8,19,303159,464225,NONTOR
32,21,283785,302953,NONTOR
31,19,271847,271110,NONTOR
9,0,304415,712707,NONTOR
149,38,278835,278976,NONTOR
-1,-1,-1,-1,NONTOR
2380009,-1,2380009,-1,NONTOR
6413914,-1,6413914,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
116602,118975,2010348,1969018,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
336606,129869,9720216,9590540,NONTOR
-1,-1,-1,-1,NONTOR
97696,97706,872980,671004,NONTOR
70,27,2801924,5779215,NONTOR
20131,225,1046957,910678,NONTOR
268018,310,305778,267737,NONTOR
1140,276688,276805,309512,NONTOR
1533568,1314,6167289,6035995,NONTOR
-1,19,-1,1292469,NONTOR
-1,39,-1,1285404,NONTOR
269703,62,310580,272512,NONTOR
10866,84,867021,744813,NONTOR
35,60,1001108,908373,NONTOR
660967,50,1090797,4751511,NONTOR
46,39,1186609,1318934,NONTOR
270488,-1,270488,-1,NONTOR
46,0,8305861,8305463,NONTOR
50950,64,1034284,856252,NONTOR
-1,37,-1,2109977,NONTOR
206,844257,11500349,844257,NONTOR
49,9,2972897,2827233,NONTOR
43,57,1042969,963377,NONTOR
35559,35608,4652548,5002136,NONTOR
28446,43,1168077,969306,NONTOR
1017,88,1040278,709712,NONTOR
42,47,1310368,1171089,NONTOR
-1,-1,-1,-1,NONTOR
889,66,6324393,6317356,NONTOR
1860,133939,344377,141293,NONTOR
330911,-1,330911,-1,NONTOR
338385,-1,338385,-1,NONTOR
342591,40,371960,342554,NONTOR
464,110,2024675,1913689,NONTOR
135683,212219,3390801,3526450,NONTOR
73,977,11618354,7764739,NONTOR
206,464723,9201371,9201371,NONTOR
6169384,-1,6169384,-1,NONTOR
-1,344987,-1,344987,NONTOR
-1,-1,-1,-1,NONTOR
1012816,901818,1012816,901818,NONTOR
-1,51,-1,2559963,NONTOR
189,30,1012815,1214513,NONTOR
219,-1,7116854,-1,NONTOR
160,-1,4900461,-1,NONTOR
-1,-1,-1,-1,NONTOR
140940,2336,5839319,12797941,NONTOR
272070,272093,15440622,1454048,NONTOR
-1,-1,-1,-1,NONTOR
18652655,-1,18652655,-1,NONTOR
276231,276135,10061513,10061604,NONTOR
1944,136663,28018076,338706,NONTOR
71,-1,71,-1,NONTOR
280878,280896,8999720,8999719,NONTOR
15892483,-1,15892483,-1,NONTOR
-1,-1,-1,-1,NONTOR
30,57,18263275,411497,NONTOR
304,1726,7760547,7249848,NONTOR
535,131470,9236778,332573,NONTOR
38,26,197372,217934,NONTOR
84,50,4314874,13975268,NONTOR
-1,-1,-1,-1,NONTOR
732,354,1464361,1456588,NONTOR
20,37,1169406,776341,NONTOR
266387,69,311218,273607,NONTOR
15,22,1880177,1775827,NONTOR
3467352,334845,4800730,4453021,NONTOR
20,1217,1099723,975672,NONTOR
-1,33,-1,1352487,NONTOR
-1,350276,-1,350276,NONTOR
49,28,6621270,13281080,NONTOR
52221,299840,1052271,1051983,NONTOR
33,36,6149729,6149727,NONTOR
-1,-1,-1,-1,NONTOR
380,82,3415909,3576775,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
383,480228,9221366,9221334,NONTOR
-1,-1,-1,-1,NONTOR
-1,43,-1,319093,NONTOR
313859,-1,313859,-1,NONTOR
179,260647,2969785,2969781,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
324743,-1,324743,-1,NONTOR
-1,-1,-1,-1,NONTOR
66,2091,7819359,7825451,NONTOR
5104,5171,5101183,5440586,NONTOR
387,4403,2899175,6391960,NONTOR
240,24123,769756,764112,NONTOR
-1,1755,-1,4079121,NONTOR
71,12,6615129,5689743,NONTOR
1,94,1135230,1135228,NONTOR
174,124,849300,1029317,NONTOR
-1,813,-1,5079931,NONTOR
326,338169,6623151,6240171,NONTOR
-1,986,-1,7396816,NONTOR
169,475615,4493651,4295397,NONTOR
-1,-1,-1,-1,NONTOR
140,313819,4903185,4750656,NONTOR
204,321235,5199449,5199447,NONTOR
-1,-1,-1,-1,NONTOR
202,479128,5217805,5217774,NONTOR
197229,-1,197229,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
1506230,1807901,1810056,1810885,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
886,36,287548,295502,NONTOR
199,330621,8381284,8381315,NONTOR
58,20,10429160,13698057,NONTOR
-1,-1,-1,-1,NONTOR
48,20,4379078,4515040,NONTOR
723,336860,10434561,10434485,NONTOR
945,95420,10748255,11026489,NONTOR
71,17,2549415,3233089,NONTOR
-1,-1,-1,-1,NONTOR
39,14130,979193,1012050,NONTOR
40,1048,983202,1023968,NONTOR
-1,-1,-1,-1,NONTOR
53,20,4400370,4321223,NONTOR
166,271,2657564,2801379,NONTOR
70,231098,1247103,1239522,NONTOR
-1,-1,-1,-1,NONTOR
57,21541,2130875,2004400,NONTOR
293791,-1,293791,-1,NONTOR
0,35,1840726,1708131,NONTOR
-1,-1,-1,-1,NONTOR
19,40,1163309,789579,NONTOR
14,17,11558016,13187606,NONTOR
-1,-1,-1,-1,NONTOR
45,21747,981487,779674,NONTOR
32,4820,1856702,1717544,NONTOR
19,34,2400170,2603364,NONTOR
0,71,1185913,1185884,NONTOR
5,36,1038499,1072556,NONTOR
30,27589,1019500,788843,NONTOR
31,6848,1036066,1038380,NONTOR
9660076,9655729,9660076,9655729,NONTOR
18,53,1028905,812502,NONTOR
-1,19,-1,3009958,NONTOR
7303683,7306296,7303683,7306296,NONTOR
-1,-1,-1,-1,NONTOR
44,119619,5858390,5861978,NONTOR
15,18,3379071,3514619,NONTOR
19,48,1458499,1456538,NONTOR
1047194,974983,1047194,974983,NONTOR
-1,175843,-1,1038687,NONTOR
18,41,1041755,1044164,NONTOR
36,117362,2314966,2190226,NONTOR
-1,45,-1,4025350,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
19,47,2303876,2104002,NONTOR
18,41,2368749,2570327,NONTOR
0,90,1169095,1169052,NONTOR
14,29,745879,1077261,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
18,41,1134116,1256330,NONTOR
35,5600,708654,1030443,NONTOR
-1,-1,-1,-1,NONTOR
31,38,13122983,13365549,NONTOR
19,3953,1048297,993683,NONTOR
20,26511,911578,871621,NONTOR
33,29004,3072897,3359464,NONTOR
20,219516,2005035,2201219,NONTOR
17,55620,1184722,1260370,NONTOR
4149724,4151788,4149724,4151788,NONTOR
30,100457,1657404,1859497,NONTOR
52,28,3213430,4863584,NONTOR
0,55,1030063,1023894,NONTOR
3216,-1,8868350,-1,NONTOR
26,27,4925632,4925490,NONTOR
57,37,10814377,10853692,NONTOR
50,-1,8573376,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
45,-1,777550,-1,NONTOR
-1,-1,-1,-1,NONTOR
2682556,-1,2682556,-1,NONTOR
3385720,3386112,3385720,3386112,NONTOR
26,198712,3097637,3136829,NONTOR
518,483,2125774,2279578,NONTOR
-1,0,-1,3689625,NONTOR
193,20308,1195916,1480449,NONTOR
-1,-1,-1,-1,NONTOR
171,475253,2915522,2725448,NONTOR
-1,-1,-1,-1,NONTOR
210,567127,3384528,3089213,NONTOR
138,32,1039314,1039295,NONTOR
-1,-1,-1,-1,NONTOR
348,260049,10105367,10145612,NONTOR
202,150770,163667,322322,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
91,115,2380121,2036806,NONTOR
-1,-1,-1,-1,NONTOR
52,59,1303133,1586946,NONTOR
-1,-1,-1,-1,NONTOR
25,542,7225002,7603342,NONTOR
55,64,1007263,764588,NONTOR
146,48,958848,692831,NONTOR
51,-1,7207213,-1,NONTOR
51,-1,11224563,-1,NONTOR
66,36,1704430,1704342,NONTOR
70,-1,6641735,-1,NONTOR
0,-1,5184957,-1,NONTOR
142,487458,12792012,12792000,NONTOR
185,348074,2326025,2326050,NONTOR
209,480971,2607129,2607158,NONTOR
-1,-1,-1,-1,NONTOR
272,489541,12344466,12382371,NONTOR
205,485379,2859447,2859457,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
39,27,1555833,1555824,NONTOR
-1,-1,-1,-1,NONTOR
40,26,1557757,1557752,NONTOR
20,18,9072486,9347136,NONTOR
3,7,2833253,3116887,NONTOR
32,44,1121253,1121286,NONTOR
13,23,748320,748297,NONTOR
6,9,837271,507490,NONTOR
-1,-1,-1,-1,NONTOR
12,10,266783,263384,NONTOR
28,63,3642047,3681096,NONTOR
26,29,443824,443806,NONTOR
333,682880,682850,682880,NONTOR
350,-1,350,-1,NONTOR
425,-1,425,-1,NONTOR
15,13,259434,268994,NONTOR
124,-1,179,-1,NONTOR
229118,2980633,2773194,3012732,NONTOR
306,-1,306,-1,NONTOR
45,-1,45,-1,NONTOR
32,61,267888,270148,NONTOR
17,10,257453,262163,NONTOR
55,-1,182,-1,NONTOR
485,225026,2063505,2063521,NONTOR
33,10,273056,279497,NONTOR
0,2,305266,257323,NONTOR
0,3,4351595,4638430,NONTOR
0,3,698847,461566,NONTOR
0,6,355728,274742,NONTOR
0,10,10637401,10906811,NONTOR
0,5,164735,164645,NONTOR
0,18,350764,292209,NONTOR
-1,-1,-1,-1,NONTOR
18,-1,192467,-1,NONTOR
4,-1,55539,-1,NONTOR
0,5,261668,265978,NONTOR
-1,-1,-1,-1,NONTOR
535,228121,5796123,5835489,NONTOR
11,-1,213453,-1,NONTOR
61,-1,179,-1,NONTOR
50,-1,50,-1,NONTOR
4,-1,130773,-1,NONTOR
22,-1,116956,-1,NONTOR
-1,-1,-1,-1,NONTOR
23,-1,72,-1,NONTOR
59,-1,59,-1,NONTOR
47,63,255265,264639,NONTOR
79,119,2772510,3058112,NONTOR
0,2,299004,276767,NONTOR
13,6,2773048,3003301,NONTOR
408,233404,5849897,5888063,NONTOR
4,-1,176439,-1,NONTOR
47,-1,47,-1,NONTOR
11,-1,161550,-1,NONTOR
-1,-1,-1,-1,NONTOR
0,12,269417,273192,NONTOR
227119,2996053,2773946,3005750,NONTOR
1,34,275552,282340,NONTOR
-1,-1,-1,-1,NONTOR
409,238942,4011838,4053405,NONTOR
0,4,290204,277932,NONTOR
-1,-1,-1,-1,NONTOR
1,15,268026,279336,NONTOR
14,-1,162086,-1,NONTOR
228870,2993403,2770454,2999325,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
18,27,486240,549769,NONTOR
20,27,741779,592735,NONTOR
29,6295,222036,364064,NONTOR
536,25,6642754,6786536,NONTOR
0,0,426865,285614,NONTOR
135,599,231389,354731,NONTOR
18,1177,2224774,2042501,NONTOR
25,64,554394,400242,NONTOR
814,36,5610298,5788843,NONTOR
584,19,5606680,5792353,NONTOR
19,1597,10091230,10053120,NONTOR
30,40,4987940,5026699,NONTOR
3621,31,443417,300821,NONTOR
54,850,228745,371674,NONTOR
19,4073,5022423,4979764,NONTOR
17187,-1,120118,-1,NONTOR
19,42,6684367,6862366,NONTOR
927,42,4977483,5016908,NONTOR
1116,1257,6876688,7058132,NONTOR
25,439,190344,10025773,NONTOR
19,1686,10019471,9978611,NONTOR
820,142279,437182,257032,NONTOR
73,-1,73,-1,NONTOR
28,-1,17046,-1,NONTOR
283,26,708710,572435,NONTOR
247,45,797657,651243,NONTOR
212,27,947748,792526,NONTOR
974,-1,974,-1,NONTOR
272,29,686396,556380,NONTOR
689,-1,689,-1,NONTOR
24,-1,3650,-1,NONTOR
632,30,712253,570260,NONTOR
226,-1,226,-1,NONTOR
54,-1,54,-1,NONTOR
733,29,692482,562448,NONTOR
248,31,823923,693633,NONTOR
295,-1,295,-1,NONTOR
357,26,689748,560220,NONTOR
30,-1,4906,-1,NONTOR
307,26,711049,580317,NONTOR
398,27,722910,584784,NONTOR
294,35,650732,509318,NONTOR
147,-1,147,-1,NONTOR
192,-1,192,-1,NONTOR
21,-1,21,-1,NONTOR
17,-1,17,-1,NONTOR
67,-1,67,-1,NONTOR
46,-1,46,-1,NONTOR
579,-1,579,-1,NONTOR
249,40,832561,686639,NONTOR
341,37,899503,756987,NONTOR
338,33,863275,716079,NONTOR
23,-1,23,-1,NONTOR
45,-1,45,-1,NONTOR
50,-1,50,-1,NONTOR
30,-1,30,-1,NONTOR
614,46,843691,702222,NONTOR
4293,-1,4293,-1,NONTOR
415,28,909062,760453,NONTOR
216,35,833437,693014,NONTOR
612,37,1006595,826859,NONTOR
19,-1,19,-1,NONTOR
44,-1,44,-1,NONTOR
45,-1,45,-1,NONTOR
1067,46,878924,733307,NONTOR
85,-1,85,-1,NONTOR
59,-1,59,-1,NONTOR
22,9,5721272,5932524,NONTOR
30,6,11633742,11586760,NONTOR
16,12,7741040,7952542,NONTOR
15,10,7432343,7641912,NONTOR
26,14,209434,82091,NONTOR
30,19,11535750,11751028,NONTOR
17,15,234261,209079,NONTOR
5,7,262372,30257998,NONTOR
896209,-1,896209,-1,NONTOR
5,8,9374350,9617666,NONTOR
9,18,14411805,208131,NONTOR
7,8,10999516,11207786,NONTOR
13,20,208590,1994,NONTOR
191,35,10001123,249463,NONTOR
5,8,271745,30369238,NONTOR
946518,-1,946518,-1,NONTOR
4,8,400230,226281,NONTOR
21,6,207901,3906,NONTOR
7,11,207782,3721,NONTOR
8,18,436825,30238761,NONTOR
399,61,19951528,246548,NONTOR
362,247,10001739,252716,NONTOR
206,127,10001202,252156,NONTOR
355,2883,19926007,246840,NONTOR
11,20,10462656,10668891,NONTOR
7,20,289795,30337363,NONTOR
5,11,211649,30409577,NONTOR
4,12,208856,208131,NONTOR
23,26,209541,2631,NONTOR
1236985,-1,1236985,-1,NONTOR
24,17,211130,2744,NONTOR
165,7,329440,459894,NONTOR
69,7,316003,500414,NONTOR
204,6,316070,504251,NONTOR
138,7,307941,498286,NONTOR
122,6,254396,284337,NONTOR
48,7,259973,260847,NONTOR
88,8,256777,284300,NONTOR
149,6,307982,468347,NONTOR
29,5,324026,507032,NONTOR
205,7,252808,327867,NONTOR
59,7,254634,281993,NONTOR
194,7,313399,583699,NONTOR
23,7,296080,524437,NONTOR
168,7,291615,489938,NONTOR
19,10,352422,502847,NONTOR
17,8,3525648,3684163,NONTOR
20,8,3557467,3703798,NONTOR
18,10,3335901,3481074,NONTOR
17,8,3200753,3361742,NONTOR
13,4,3384756,3372520,NONTOR
12,7,2809867,2964718,NONTOR
21,8,3223954,3386762,NONTOR
7,8,3362683,3517715,NONTOR
16,9,2933995,3093710,NONTOR
11,11,2813074,2955769,NONTOR
24,9,2945878,3090829,NONTOR
15,9,3215904,3386520,NONTOR
16,8,3548448,3690785,NONTOR
16,9,3372564,3521174,NONTOR
20,9,2675140,2841824,NONTOR
7,7,2592326,2760840,NONTOR
11,8,3116593,3265001,NONTOR
26,8,2821995,2980252,NONTOR
9,7,3226262,3388944,NONTOR
138,6,252047,317185,NONTOR
250,6,269169,443487,NONTOR
67,6,207905,350525,NONTOR
144,6,291977,376784,NONTOR
46,7,261798,262198,NONTOR
48,5,672868,718738,NONTOR
103,6,174186,174126,NONTOR
123,5,242019,243346,NONTOR
12,6,180018,174182,NONTOR
115,7,235993,256658,NONTOR
33,6,259998,264633,NONTOR
266,6,174991,193900,NONTOR
11,7,214464,225783,NONTOR
18,10,5205705,5205685,NONTOR
10039547,10039077,10039547,10039077,NONTOR
30,10,24945,64400,NONTOR
959249,957670,960734,962156,NONTOR
12,7,25389,48331,NONTOR
10038673,10039366,10038673,10039366,NONTOR
29,9,24758,42331,NONTOR
27,15,24731,39790,NONTOR
959335,959220,961432,1922465,NONTOR
10038675,10038615,10038675,10038615,NONTOR
959583,958814,961565,961648,NONTOR
27,14,24059,39794,NONTOR
60,17,23384,41218,NONTOR
959457,959180,960952,961257,NONTOR
10038665,10038651,10038665,10038651,NONTOR
36,9,24003,41309,NONTOR
11,31,23915,41349,NONTOR
10039079,10039017,10039079,10039017,NONTOR
10039153,10039165,10039153,10039165,NONTOR
959531,959232,961560,961114,NONTOR
44,10,24877,43157,NONTOR
46,23,29990,41121,NONTOR
10038152,10037986,10038152,10037986,NONTOR
186,44,24667,44402,NONTOR
10039036,10039250,10039036,10039250,NONTOR
959839,957312,961546,962682,NONTOR
10038512,10038177,10038512,10038177,NONTOR
64,30,23848,44059,NONTOR
959735,959527,961504,961350,NONTOR
11,22,34002,53645,NONTOR
10037826,10037960,10037826,10037960,NONTOR
11,32,23970,496035,NONTOR
10039307,10039360,10039307,10039360,NONTOR
10039326,10039116,10039326,10039116,NONTOR
10038786,10038288,10038786,10038288,NONTOR
959897,959631,961455,961703,NONTOR
43,34,24297,47039,NONTOR
38,11,24522,40077,NONTOR
10039635,10038704,10039635,10038704,NONTOR
10038764,10039753,10038764,10039753,NONTOR
10038415,10038856,10038415,10038856,NONTOR
959455,958331,961396,962054,NONTOR
33,13,34202,40652,NONTOR
10038894,10038695,10038894,10038695,NONTOR
10,14,24724,26566,NONTOR
51,22,26278,37207,NONTOR
10038984,10038930,10038984,10038930,NONTOR
55,17,24078,42938,NONTOR
959637,959390,961240,961406,NONTOR
959269,959352,961016,961201,NONTOR
10039053,10039333,10039053,10039333,NONTOR
959448,959193,969628,968687,NONTOR
10038769,10038936,10038769,10038936,NONTOR
959435,959153,966439,966573,NONTOR
33,16,54122,40775,NONTOR
959356,959156,961545,963084,NONTOR
10038912,10038713,10038912,10038713,NONTOR
17,19,49488,39849,NONTOR
10039111,10039175,10039111,10039175,NONTOR
10038575,10038470,10038575,10038470,NONTOR
10038643,10038647,10038643,10038647,NONTOR
10039157,10038889,10039157,10038889,NONTOR
959351,955987,961257,965376,NONTOR
10039046,10039005,10039046,10039005,NONTOR
47,15,23864,42055,NONTOR
959655,959223,961543,961946,NONTOR
10038400,10038366,10038400,10038366,NONTOR
42,18,32531,61802,NONTOR
10038802,10038718,10038802,10038718,NONTOR
959679,958525,961561,963296,NONTOR
959373,958931,961226,961658,NONTOR
10039364,10039421,10039364,10039421,NONTOR
59,20,23911,56649,NONTOR
64,11,29511,45078,NONTOR
215,13,24887,40945,NONTOR
959546,958334,960680,963204,NONTOR
959558,958885,961060,961559,NONTOR
959371,958360,960791,963220,NONTOR
